Village,risque_moyen_2026,risque_max_2026,mois_pic_2026,Province,Détection tardive,Animal non attaché,Source d'eau contaminée,Infection non isolée
YABAKAGA | KEMATA | SARH,0.00435829101993245,0.006359854052452935,2026-07,MC,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
PRAH | NIELLIM | KORBOL,0.004356835824783654,0.01052486712320023,2026-08,MC,0.0,0.0,1.0,1.0
BONGOR | BONGOR URBAIN 3 | BONGOR,0.004355815919656004,0.00928013787029491,2026-08,MKE,1.0,0.0,1.0,1.0
TAMIO MBASSA | TAMIO | BERE,0.004336621229493561,0.00925321082994848,2026-08,Tandjile,0.1,0.2,0.1,0.2
TAMANDI | MASSA KABA | KYABE,0.004325063169980833,0.006546314129540563,2026-07,MC,0.0,0.0,0.0,0.0
MARABODOKOUYA 2 | MARABE | KYABE,0.004312384175781226,0.006081950839713974,2026-04,MC,0.0,1.0,0.0,0.0
DANGABOL | MARABE | KYABE,0.0043058687403590935,0.0060186411247643,2026-07,MC,0.0,0.0,0.0,0.0
NGANGOLI TOUNIA | KOKAGA | SARH,0.004301700439311285,0.006687833424151386,2026-07,MC,0.0,0.25,0.0,0.0
KALME | KALME | BERE,0.004289302305675594,0.009386544114323868,2026-08,Tandjile,0.6666666666666666,0.25,0.16666666666666666,0.16666666666666666
DIBATIME | KOKAGA | SARH,0.004281803889111572,0.007167447808735788,2026-07,MC,0.0,0.3333333333333333,0.0,0.16666666666666666
BERE | BERE PUBLIC | BERE,0.004271198091066985,0.010817559395897057,2026-09,Tandjile,0.25,0.25,0.75,1.0
GABRI-NGOLO | GABRI-NGOLO | LAI,0.00426468350269405,0.006712214376690304,2026-07,Tandjile,0.5,0.5,0.25,0.5
GAMA-MASSA | MOULKOU | MOULKOU,0.004249667169869229,0.00634051383224301,2026-07,MKE,0.0,1.0,0.0,1.0
GROUI | KYABE | KYABE,0.004244922279780652,0.006281317811745366,2026-07,MC,0.0,0.0,0.0,0.0
GUELENDENG | GUELENDENG 1 | GUELENDENG,0.0042414755644193955,0.006845366877462097,2026-06,MKE,0.0,1.0,0.0,0.0
MARAKOUYA 1 | MARABE | KYABE,0.0042408452673118775,0.005984063019449458,2026-07,MC,0.25,0.25,0.25,0.25
GARWAYE | GUELENDENG 1 | GUELENDENG,0.004230139516980921,0.007095066164145263,2026-06,MKE,0.2,0.2,0.2,0.2
KOTBIRI | MAIBO | SARH,0.0042292266770611675,0.005679577537989612,2026-05,MC,0.0,0.25,0.5,0.5
LAI AVION | LAI | LAI,0.00422833037855535,0.011758672443480635,2026-07,Tandjile,0.5,0.0,0.5,1.0
SANDANA 1 | KEMATA | SARH,0.00422164719235173,0.005718379369795765,2026-07,MC,0.0,0.0,0.0,0.0
NANGNDA 1 | KOKAGA | SARH,0.004203225564027124,0.0064133197592735796,2026-07,MC,0.0,0.4,0.4,0.6
HAKA | KYABE | KYABE,0.004186444904761439,0.0062407122907568325,2026-07,MC,0.0,0.0,1.0,1.0
MOUSSAMERE | BADARA | SARH,0.004176623289887942,0.005984063019449458,2026-07,MC,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
KOUNO VILLE | KOUNO | KOUNO,0.004176623289887942,0.005984063019449458,2026-07,CB,0.0,0.3333333333333333,0.0,0.0
GOGA | TCHAOUEN | BENOYE,0.004175117502001471,0.006051814605124909,2026-07,LOC,0.0,0.5,0.0,0.0
TABA 2 | LAI | LAI,0.004174706482415881,0.010798486216411374,2026-07,Tandjile,0.0,0.3333333333333333,0.0,0.6666666666666666
KOIKIRMA | ONOKO | MASSENYA,0.004174132227295424,0.005636854866512235,2026-07,CB,0.0,1.0,0.0,0.0
TANDA | KEMATA | SARH,0.004163112263028968,0.006074327997268374,2026-07,MC,0.5,0.75,0.5,0.5
KOUTOU MBO | TCHAOUEN | BENOYE,0.004132737958968693,0.0067899776642573505,2026-07,LOC,0.0,0.75,0.125,0.25
NDIRMIGNE | MARKABA | HARAZE,0.004120538499073977,0.007295348080812182,2026-08,SLM,0.5,0.5,0.0,0.0
BALAGNERE | ONOKO | MASSENYA,0.0041169663472935625,0.00634051383224301,2026-07,CB,0.0,1.0,1.0,1.0
KAMANMADA | MAYO 2 | BIOBE,0.0041169663472935625,0.00634051383224301,2026-07,MC,0.0,0.0,1.0,1.0
NGADJI | BIOBE | BIOBE,0.0041169663472935625,0.00634051383224301,2026-07,MC,0.0,0.0,0.0,0.0
BIGUINAO | SANANG | GUELENDENG,0.0041169663472935625,0.00634051383224301,2026-07,MKE,0.0,1.0,0.0,0.0
MAINGARA 1 | MAINGARA | SARH,0.004102904649389714,0.005787221163294633,2026-07,MC,0.0,0.0,1.0,1.0
RIDINA | MAYO 2 | BIOBE,0.004097216848588688,0.005984063019449458,2026-07,MC,0.0,0.3333333333333333,0.0,0.0
NOUNGOU | LAI | LAI,0.004076235413389879,0.007425400002537821,2026-07,Tandjile,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.5
MADJYAM | MARABE | KYABE,0.004075535381860296,0.005636854866512235,2026-07,MC,0.0,0.0,0.0,0.0
BOGOMORO | BOGOMORO | BAILLI,0.004075535381860296,0.005636854866512235,2026-07,CB,0.0,1.0,0.0,0.0
BOUDANASSA FOULBE | BERE | GUELENDENG,0.004075535381860296,0.005636854866512235,2026-07,MKE,0.0,1.0,0.0,0.0
NDINAKABA | MAIBO | SARH,0.0040748171129071096,0.006855842388963678,2026-06,MC,0.0,0.5,0.0,0.0
MACHTOURAYE | DAHA | HARAZE,0.0040700899231727065,0.005565344591156358,2026-01,SLM,0.5,0.0,0.0,0.5
BAMBARA | BAMBARA | DANAMADJI,0.004050880650974639,0.005679577537989612,2026-05,MC,0.2,0.0,0.0,0.2
